CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Riding-Horse,3,102.45367,8.888315,17.398,TRAIN
Golf-Swing,4,508.78906,4.4771385,24.979229,TRAIN
Diving-Side,5,407.11108,4.26927,21.583168,TRAIN
Swing-SideAngle,1,232.34557,4.8950477,18.319077,TRAIN
Run-Side,0,116.47409,8.111125,19.01141,TRAIN
Kicking,6,189.42508,5.1137877,18.601158,TRAIN
Diving-Side,5,104.98237,6.1417923,14.764985,TRAIN
Run-Side,0,161.42108,10.801714,25.488533,TRAIN
Swing-Bench,2,366.31653,6.164685,24.141466,TRAIN
Golf-Swing,4,344.31674,3.4151626,19.003653,TRAIN
Riding-Horse,3,230.06592,5.40476,17.682657,TRAIN
Kicking,6,199.11911,8.793569,23.377224,TRAIN
Diving-Side,5,189.4874,2.6634655,14.61458,TRAIN
Diving-Side,5,168.2607,5.9701414,15.748089,TRAIN
Swing-SideAngle,1,281.78348,4.090885,19.280281,TRAIN
Diving-Side,5,116.18247,5.508436,14.152741,TRAIN
Run-Side,0,297.8251,7.6777577,27.578613,TRAIN
Swing-SideAngle,1,353.96448,4.7476835,22.26147,TRAIN
Swing-SideAngle,1,281.25586,5.831925,18.918995,TRAIN
Swing-Bench,2,121.79216,6.9846783,16.568169,TRAIN
Riding-Horse,3,121.147446,6.864028,16.945013,TRAIN
Kicking,6,284.39877,4.8856072,20.771744,TRAIN
Run-Side,0,165.72911,5.3690352,18.479683,TRAIN
Diving-Side,5,132.39008,2.521062,12.319706,TRAIN
Swing-SideAngle,1,336.96866,4.5329013,21.036747,TRAIN
Swing-Bench,2,358.6632,6.5079803,23.264208,TRAIN
Kicking,6,188.48022,10.529561,24.817171,TRAIN
Golf-Swing,4,352.5837,3.161657,19.54706,TRAIN
Golf-Swing,4,198.96234,5.4885716,16.89911,TRAIN
Diving-Side,5,122.39072,6.640184,15.391287,TRAIN
Golf-Swing,4,206.76953,7.8370514,19.956968,TRAIN
Riding-Horse,3,214.61812,7.5067906,21.543125,TRAIN
Kicking,6,171.0025,9.054036,22.819,TRAIN
Swing-Bench,2,178.15118,7.1881776,19.64248,TRAIN
Golf-Swing,4,292.174,4.7793303,19.404524,TRAIN
Kicking,6,201.10538,5.806043,20.02387,TRAIN
Swing-Bench,2,252.72278,4.3466697,19.546692,TRAIN
Swing-SideAngle,1,321.61285,3.3809354,18.953913,TRAIN
Run-Side,0,205.74446,4.577449,18.666216,TRAIN
Swing-Bench,2,268.12222,8.065564,21.628412,TRAIN
Diving-Side,5,480.74512,4.984656,23.414848,TRAIN
Riding-Horse,3,342.67584,3.690113,19.870844,TRAIN
Swing-Bench,2,88.74788,7.199063,16.990616,TRAIN
Golf-Swing,4,312.0329,4.0180135,18.91365,TRAIN
Kicking,6,153.36217,9.23468,21.483873,TRAIN
Swing-Bench,2,285.90036,5.839093,20.792902,TRAIN
Kicking,6,392.28433,10.177266,27.549742,TRAIN
Kicking,6,111.8288,9.79677,22.18561,TRAIN
Run-Side,0,192.72113,10.39897,25.241688,TRAIN
Golf-Swing,4,310.26367,3.7808175,18.840103,TRAIN
Kicking,6,260.5154,6.7952313,22.1935,TRAIN
Diving-Side,5,147.52766,3.1651728,13.208067,TRAIN
Swing-SideAngle,1,290.34412,4.9724307,20.166903,TRAIN
Golf-Swing,4,352.87234,3.9267323,20.767017,TRAIN
Swing-Bench,2,135.29767,7.375156,17.23356,TRAIN
